budget,release_date,revenue,vote_average,vote_count,year,Success
74500000,2004-04-07,62172050,6.9,180,2004,False
50000000,2013-12-18,173649015,6.0,923,2013,True
56000000,2004-04-02,57223890,6.0,381,2004,False
55000000,2000-05-26,56932305,6.2,735,2000,False
23000000,1991-06-28,86930411,6.6,546,1991,True
100000000,2006-12-07,170877916,7.3,2281,2006,True
65000000,2006-12-12,43545364,6.7,186,2006,False
90000000,2000-01-14,14828081,4.9,109,2000,False
86000000,2006-12-13,107944236,6.0,639,2006,False
200000000,2011-06-16,219851172,5.1,2487,2011,False
25000000,1997-12-19,100000000,4.7,123,1997,True
9000000,2000-10-11,39723096,8.1,4028,2000,True
5000000,2010-10-15,2614773,6.0,208,2010,False
30000000,1995-11-10,212385533,6.1,1099,1995,True
120000000,2012-11-13,829000000,6.1,2553,2012,True
12000000,2012-09-14,35485056,6.1,294,2012,True
80000000,2011-05-25,254455986,6.2,3739,2011,True
50000000,1996-06-28,113309743,4.4,205,1996,True
18000000,1970-06-24,24911670,6.7,72,1970,False
4000000,1995-12-09,4300000,6.5,530,1995,False
3000000,2012-03-29,77712439,6.7,1573,2012,True
6000000,2008-09-07,44703995,7.3,1000,2008,True
14000000,2012-08-30,85446075,5.8,498,2012,True
35000000,2009-01-22,91353501,6.2,1428,2009,True
25000000,2004-02-20,20796847,6.5,656,2004,False
350000,1957-03-25,1000000,8.2,2078,1957,True
17000000,1987-07-23,19300000,4.1,318,1987,False
24000000,2010-11-23,23081726,6.1,568,2010,False
60000000,2010-08-12,204594016,5.8,636,2010,True
5000000,2001-06-08,33616692,7.3,315,2001,True
3000000,2013-05-31,89328627,6.0,2428,2013,True
44000000,1985-05-21,300400432,6.3,864,1985,True
15000000,2007-04-26,64238440,6.5,1197,2007,True
4800000,2003-02-09,79384880,7.4,586,2003,True
7500000,2008-03-11,19000000,7.5,841,2008,True
1288000,1940-04-12,6000000,7.7,336,1940,True
20000000,2009-12-04,22942221,5.5,208,2009,False
70000000,2002-10-31,33561137,5.2,269,2002,False
80000000,2003-11-14,68514844,5.6,297,2003,False
15000000,2016-03-10,108286421,6.8,2468,2016,True
15000000,2014-11-26,123726688,7.8,3311,2014,True
4500000,2009-10-10,744816,6.3,30,2009,False
85000000,1997-07-25,315156409,6.2,840,1997,True
70000000,1997-09-12,131457682,7.0,630,1997,True
7000000,2002-10-18,2062066,6.1,56,2002,False
11000000,2008-01-09,53191886,6.8,615,2008,True
