budget,release_date,revenue,vote_average,vote_count,year,Success
60000000,2004-10-01,74541707,6.2,207,2004,False
5500000,1973-04-19,15700000,7.4,278,1973,True
1000000,1949-12-14,7800000,6.2,33,1949,True
30000000,1997-11-21,51376861,3.8,221,1997,True
6000000,1995-05-24,12000000,5.4,32,1995,True
13000000,2013-03-14,68572378,6.6,1257,2013,True
12000000,2013-11-01,100129872,7.4,579,2013,True
20000000,2006-02-17,48548426,3.6,222,2006,True
60000000,2002-12-13,67312826,6.1,479,2002,False
110000000,2016-03-09,179246868,5.9,1998,2016,True
20000000,2009-07-24,41596251,6.7,1261,2009,True
100000000,2002-07-19,35168966,6.1,264,2002,False
1500000,2009-03-06,32000,6.6,183,2009,False
35000000,2006-08-11,12506188,4.9,135,2006,False
84000000,2000-07-27,123307945,4.7,332,2000,False
30000000,2000-03-17,47126295,7.0,628,2000,True
6500000,1999-08-13,4217115,6.7,100,1999,False
8000000,1991-08-23,2275557,5.7,95,1991,False
44000000,1980-11-19,3484331,6.4,55,1980,False
10000000,1980-05-12,15795189,6.6,50,1980,True
30000000,2009-09-17,33333531,5.4,597,2009,False
5000000,2012-10-17,142817992,5.2,563,2012,True
12000000,1996-03-22,4939939,5.7,16,1996,False
75000000,2005-03-10,260696994,6.0,1333,2005,True
3500000,1995-04-26,28215918,7.0,503,1995,True
100000000,1999-11-24,211989043,5.5,482,1999,True
25000000,1983-12-08,65884703,8.0,2948,1983,True
5000000,1987-02-27,44793222,6.5,354,1987,True
140000000,1998-07-01,553799566,6.4,2482,1998,True
60000000,1998-06-04,264118201,7.8,4537,1998,True
3000000,1997-08-22,302204,7.0,23,1997,False
3200000,1962-04-22,8000000,7.4,265,1962,True
20000000,1985-03-27,18432000,6.8,260,1985,False
14500000,1996-10-31,147298761,6.7,1374,1996,True
43000000,2013-06-27,158674180,6.5,1575,2013,True
150000000,2015-06-09,1513528810,6.5,8662,2015,True
14000000,1991-01-18,34793160,6.5,135,1991,True
8000000,1984-06-22,90815558,6.9,891,1984,True
22000000,2010-05-20,24188922,6.5,235,2010,False
23000000,1998-11-06,185991646,5.9,512,1998,True
500000,2012-02-24,845188,7.0,2,2012,True
23000000,1999-11-12,18653615,5.9,66,1999,False
20000000,2015-06-26,43967255,6.8,276,2015,True
13000000,2014-10-09,54837234,7.1,763,2014,True
75000000,1997-06-01,224012234,6.5,1270,1997,True
11000000,2001-03-30,23430766,4.9,74,2001,True
25000000,2014-04-11,28831145,6.5,304,2014,False
4500000,2010-04-09,3606395,5.4,251,2010,False
2000000,1971-04-28,11833696,6.7,165,1971,True
2000000,1938-05-24,4000000,4.8,6,1938,True
18000000,2014-07-20,25312387,5.7,164,2014,False
30000000,2006-09-09,53653224,7.1,721,2006,True
30000000,2009-03-15,90810892,6.2,966,2009,True
60000000,2001-12-11,313542341,7.7,3009,2001,True
8500000,2016-09-09,15861566,6.5,178,2016,True
72000000,1995-05-24,210000000,7.7,3336,1995,True
4361898,2003-06-06,3031801,5.6,28,2003,False
26000000,2015-07-10,30523226,6.3,1091,2015,False
1200000,2013-04-19,2861020,6.3,24,2013,True
100000000,2004-03-05,108103450,6.5,318,2004,False
14000000,1981-02-11,439564,6.0,2,1981,False
120000000,2006-06-08,461983149,6.6,3877,2006,True
30000000,2005-01-14,76669806,7.3,496,2005,True
57000000,2004-07-23,28283637,4.2,91,2004,False
44500000,2012-10-11,232324128,7.1,3423,2012,True
52000000,2002-12-25,352114312,7.7,3795,2002,True
1600000,1974-04-07,4420000,7.5,372,1974,True
90000000,2009-12-23,524028679,7.0,5766,2009,True
100000000,2013-05-15,268426634,6.4,1121,2013,True
35000000,2012-12-20,88058786,5.6,896,2012,True
25000000,1999-03-12,15156200,6.0,57,1999,False
85000000,2000-10-07,183611771,5.1,313,2000,True
62000000,1994-08-03,215887717,6.4,386,1994,True
30000000,2011-02-03,108609310,5.8,339,2011,True
12000000,2012-02-24,81272766,6.3,417,2012,True
30000000,2011-04-13,14460000,6.8,258,2011,False
57000000,2001-08-17,62112895,5.5,145,2001,False
60000000,2009-02-05,124596398,7.3,1386,2009,True
35000000,2002-09-24,120072577,8.0,1864,2002,True
30000000,2011-06-30,36160375,5.7,359,2011,False
140000000,2003-07-09,655011224,7.5,6985,2003,True
11000000,1984-06-07,153083102,6.9,1596,1984,True
15000000,2015-08-27,632542,6.6,157,2015,False
10000000,2011-11-28,136836156,6.9,459,2011,True
6500000,1989-06-30,37295445,7.6,292,1989,True
15000000,2009-06-19,35097815,6.8,350,2009,True
4600000,2013-06-06,23198652,7.1,688,2013,True
26000000,2010-01-21,67918658,5.2,629,2010,True
7500000,2004-11-24,3347647,6.1,7,2004,False
11000000,2014-08-21,78874843,7.3,1368,2014,True
93000000,2001-12-18,871368364,8.0,8705,2001,True
34000000,1992-11-18,48169908,7.2,370,1992,False
2700000,2004-02-10,15992615,7.6,718,2004,True
32350000,1983-05-23,572700000,7.9,4665,1983,True
80000000,2003-08-08,116643346,5.8,770,2003,False
1000000,2006-01-24,46243000,6.7,251,2006,True
65000000,2016-08-10,143695338,6.2,679,2016,True
105000000,2009-12-08,267045765,6.7,1247,2009,True
5000000,2014-08-14,40100000,6.1,766,2014,True
28000000,2001-10-05,77516304,6.6,521,2001,True
5000000,2006-05-25,26888376,6.9,398,2006,True
55000000,2011-06-17,187361754,5.7,751,2011,True
17000000,2012-02-01,127730736,6.1,1206,2012,True
11000000,2009-10-22,68233629,6.0,722,2009,True
58000000,2015-08-05,158162788,6.2,995,2015,True
7000000,2005-09-30,49084830,6.8,384,2005,True
30000000,2006-03-03,31070211,4.8,458,2006,False
3700000,1948-06-11,2956000,6.6,17,1948,False
3860000,2013-01-08,64076736,6.3,273,2013,True
1000000,1996-08-30,24475416,7.4,231,1996,True
6500000,2005-10-21,2025032,8.0,6,2005,False
23000000,2013-12-18,47351251,7.9,4097,2013,True
35000000,2013-02-21,42930462,5.8,1138,2013,False
200000000,2008-10-30,586090727,6.1,2965,2008,True
60000000,1998-05-14,186883563,6.7,292,1998,True
28000000,1981-06-23,195312802,6.3,490,1981,True
30000000,2005-06-27,25473093,5.3,274,2005,False
12000000,2006-08-31,42931041,6.6,1151,2006,True
65000000,2000-07-31,128884132,6.3,403,2000,True
76000000,2003-06-05,236350661,6.2,2028,2003,True
27000000,1998-03-26,76000000,5.9,44,1998,True
125000000,2014-11-18,752100229,6.6,5584,2014,True
30000000,2011-09-23,2527904,6.4,286,2011,False
30000000,2000-09-29,136706683,7.4,821,2000,True
8000000,1989-08-11,22168359,5.5,245,1989,True
3000000,1993-05-14,1200000,4.5,10,1993,False
33000000,2012-07-26,140470746,6.7,663,2012,True
20000,1997-11-06,99000,7.4,63,1997,True
100000000,2010-03-11,94882889,6.4,717,2010,False
18000000,1992-11-19,358991681,6.3,2395,1992,True
50000000,2015-03-15,3324330,6.1,547,2015,False
82000000,2011-03-24,89792502,5.9,1623,2011,False
17000000,2014-10-11,3758328,6.1,271,2014,False
12000000,1981-12-15,55260558,7.1,109,1981,True
115000000,2001-06-11,274703340,5.7,2192,2001,True
85000000,1998-10-02,71485043,6.8,577,1998,False
13000000,1990-11-09,35763605,5.8,308,1990,True
21000000,2007-05-25,54926886,6.5,323,2007,True
25000000,2007-12-28,77208711,7.9,1537,2007,True
30000000,2013-10-16,82394288,5.8,1463,2013,True
55000000,2006-12-14,307077295,7.7,2525,2006,True
6500000,2004-09-30,11850214,7.0,559,2004,True
31500000,2016-04-14,14708696,5.7,557,2016,False
19500000,2015-10-14,34854990,6.2,336,2015,True
45000000,1996-06-06,17300889,4.7,136,1996,False
125000000,2011-11-22,334615000,7.0,3886,2011,True
2500000,2008-12-10,107559,6.0,40,2008,False
