budget,release_date,revenue,vote_average,vote_count,year,Success
35000000,2008-03-27,69823199,6.5,1375,2008,True
10000000,2015-07-01,17472,5.1,83,2015,False
56000000,2003-02-21,12923936,6.1,48,2003,False
135000000,2016-06-01,245623848,5.8,963,2016,True
8500000,2015-02-20,43528634,6.8,1322,2015,True
1800000,2010-08-27,67738090,5.6,328,2010,True
27000000,2004-05-07,21148829,6.3,333,2004,False
125000000,2010-04-01,232713139,5.6,2233,2010,True
51000000,2000-06-22,149270999,6.1,927,2000,True
15000000,2002-12-14,9237470,6.5,85,2002,False
38000000,1994-11-17,120000000,6.4,452,1994,True
15000000,2015-01-21,36869414,7.6,4737,2015,True
127500000,2000-05-19,354248063,6.2,542,2000,True
52000000,2011-08-05,75450437,5.9,736,2011,False
40000000,2011-07-27,60965854,6.5,824,2011,True
10000000,1990-08-03,16153593,6.3,47,1990,True
5000000,2014-10-09,2450846,6.6,355,2014,False
75000000,1996-06-25,816969268,6.7,3260,1996,True
5952000,1983-02-04,2120439,7.1,454,1983,False
12000000,2002-02-15,61141030,4.7,158,2002,True
3800000,1965-04-07,14873,6.2,38,1965,False
25000000,2002-08-08,51842679,5.6,159,2002,True
2000000,2011-08-26,841733,5.3,14,2011,False
80000000,2007-08-17,15071514,5.7,359,2007,False
6500000,2005-09-05,24793509,7.1,664,2005,True
35000000,1982-07-23,69701637,5.9,41,1982,True
60000000,2011-09-08,137551594,6.2,1325,2011,True
35000000,2001-01-26,94728529,5.5,427,2001,True
18000000,1998-09-10,9495408,7.3,99,1998,False
115000000,2013-08-07,286140700,6.4,3439,2013,True
15000000,2006-12-25,49469904,6.9,235,2006,True
70000000,2013-06-13,18662027,5.9,43,2013,False
30000000,1994-06-09,350448145,6.8,1783,1994,True
2000000,1940-08-30,9172000,6.5,8,1940,True
23600000,2009-10-07,102391382,7.2,3550,2009,True
2000000,2010-06-17,572809,6.3,519,2010,False
10000000,2009-11-06,42333295,5.8,441,2009,True
6500000,2002-01-14,12633747,6.8,142,2002,True
50000000,2009-09-03,40828540,5.6,760,2009,False
6500000,2014-10-02,255273813,5.6,1517,2014,True
20000000,2014-12-30,12007070,6.5,546,2014,False
6900000,1993-09-24,7993039,7.4,583,1993,False
27000000,2011-08-18,85564310,4.4,222,2011,True
25000000,2010-12-17,93617009,7.2,1486,2010,True
87000000,2003-07-22,148336445,6.7,216,2003,True
60000000,1990-06-27,157920733,5.9,353,1990,True
30000000,1991-12-25,74787599,5.9,56,1991,True
300000,1978-10-25,70000000,7.4,1035,1978,True
5600000,2009-09-15,18469680,6.4,489,2009,True
60000000,2003-03-28,74208267,5.4,516,2003,False
5000000,2013-09-07,55198285,7.9,2886,2013,True
75000000,2005-05-25,532680671,6.6,3237,2005,True
22000000,2014-08-06,88880821,7.3,508,2014,True
5000000,1968-12-21,5321508,8.1,1128,1968,False
8000000,2006-07-26,100523181,7.5,1686,2006,True
30000000,2014-02-26,174600318,8.0,4519,2014,True
2540800,1952-04-10,7200000,7.8,727,1952,True
68490000,2016-01-22,193677158,6.0,24,2016,True
90000000,2013-08-07,174578751,5.9,1648,2013,True
19000000,2004-08-20,69631118,5.3,214,2004,True
68000000,2001-03-13,96976270,7.2,999,2001,False
80000000,1999-07-23,91188905,5.2,369,1999,False
4000000,1952-01-10,36000000,6.6,50,1952,True
2000000,2003-09-12,1672730,5.0,2,2003,False
24000000,2004-11-19,234710455,8.2,1991,2004,True
35000000,2006-01-18,10496317,5.8,307,2006,False
75000000,2001-08-07,13596911,5.9,228,2001,False
1250000,1984-08-31,3412497,5.3,62,1984,True
20000000,1982-04-02,79114085,6.6,650,1982,True
45000000,2002-12-26,306776732,6.9,677,2002,True
5500000,1973-12-25,159616327,7.9,622,1973,True
22000000,2013-07-18,24000000,6.0,122,2013,False
50000000,2002-05-10,119137784,6.3,276,2002,True
